input,output
"What is the first level of classification for Cortisone, hydrocortisone, prednisone (dehydrocortisone), and prednisolone (dehydrohydrocortisone) in customs tariff?",29 - Chapter 29: Organic chemicals
What type of substances are referred to by the HS code HS:2937220000 in Morocco's customs tariff?,Halogenated derivatives of corticosteroid hormones
Which chapter does the HS code HS:2937220000 belong to in Morocco's customs tariff?,Chapter 29: Organic chemicals
What is the primary use of substances classified under HS code HS:2937220000 in Morocco's customs tariff?,Mainly used as hormones
"Does the HS code HS:2937220000 fall under the category of Hormones, prostaglandins, thromboxanes and leucotrienes, natural or synthesized; their derivatives and structural analogues, including modified polypeptide chains in Morocco's customs tariff?","Yes, it may or may not be included in this category"
What type of substances does the HS code HS:2937230000 refer to in Morocco's customs?,"Estrogens and progestogens, which may or may not be classified as Hormones, prostaglandins, thromboxanes, and leukotrienes, as well as their natural or synthetic derivatives and structural analogs, including modified polypeptide chains, primarily used as hormones."
Which chapter in Morocco's customs tariff classification does the HS code HS:2937230000 belong to?,Chapter 29: Organic Chemicals
What is the primary use of the substances referred to by the HS code HS:2937230000 in customs tariff classification?,Primarily used as hormones.
What is the first level of classification for estrogens and progestogens in Morocco's customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the HS tariff classification code for products related to hormones, prostaglandins, thromboxanes, and leucotrienes, whether natural or synthesized; their derivatives and structural analogues in Moroccan customs tariff?",HS:2937291000
"What category does the HS tariff classification code HS:2937291000 belong to, as defined in Note 8 of this chapter?",Category 2914500000
Which chapter in the Moroccan customs tariff does the HS code HS:2937291000 belong to?,Chapter 29: Organic chemicals
Does the HS tariff classification code HS:2937291000 include hormones in Moroccan customs tariff?,"Yes, polypeptide hormones are included in the HS code HS:2937291000."
"What is the HS code for products defined in Note 8 of chapter 29, which may be related to hormones and their derivatives?",HS:2937501000
Does the HS code 2937501000 apply to products classified as hormones or related substances in Note 8 of chapter 29?,Yes
Which chapter in the Moroccan customs tariff does the HS code 2937501000 belong to?,Chapter 29: Organic chemicals
Are polypeptide hormones covered by the HS code 2937501000 in the Moroccan customs tariff?,"Yes, if they are part of the products defined in Note 8 of chapter 29"
What is the specific HS code mentioned in the given information?,HS:2937901000
Which chapter of the Moroccan customs tariff does the HS code 2937901000 belong to?,Chapter 29: Organic chemicals
What type of products does the HS code 2937901000 represent according to the given information?,"Other items that may or may not be classified as hormones, prostaglandins, thromboxanes, and leukotrienes, as well as their derivatives and structural analogs, including modified polypeptide chains used primarily as hormones"
Which code in Note 8 of chapter 29 is the HS code 2937901000 related to?,Code 2934990090
"What specific HS code is assigned to Rutoside (rutin) and its derivatives, as well as their salts, ethers, esters, and other derivatives in Moroccan Customs Tariff?",HS:2938100000
In which chapter of the Moroccan Customs Tariff is the HS code 2938100000 located?,Chapter 29: Organic Chemicals
What type of substances are represented by the HS code 2938100000 in Moroccan Customs Tariff classification?,"Rutoside (rutin) and its derivatives, as well as their salts, ethers, esters, and other derivatives"
What is the first level of classification for Rutoside (rutin) and its derivatives in Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for digitalines or their salts, ethers, esters, and other derivatives?",HS:2938900010
Which chapter in the Moroccan customs tariff does the HS code 2938900010 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2938900010 in customs tariff classification?,"Digitalines or their salts, ethers, esters, and other derivatives"
"What is the first level of classification for digitalines or their salts, ethers, esters, and other derivatives in customs tariff?",29 - Chapter 29: Organic Chemicals
What product or substances does the HS code HS:2938900020 refer to in Moroccan Customs Department?,"Glycyrrhizine and glycyrrhizates, which may or may not be part of the heterosides, natural or synthetically produced, their salts, ethers, esters, and other derivatives."
In which chapter is the HS code HS:2938900020 classified under in Moroccan Customs Department?,Chapter 29: Organic Chemicals
What is the specific category of organic chemicals represented by the HS code HS:2938900020 in Moroccan Customs Department?,"Glycyrrhizine and glycyrrhizates, which may or may not be part of the heterosides, natural or synthetically produced, their salts, ethers, esters, and other derivatives."
What is the first level of classification for glycyrrhizine and glycyrrhizates in Moroccan Customs Department?,29 - Chapter 29: Organic Chemicals
What product does the HS tariff code HS:2939110010 apply to?,Poppy straw concentrates containing at least 50% alkaloids and their salts
Which type of organic chemicals does the HS code HS:2939110010 belong to?,Poppy straw concentrates fall under chapter 29: Organic chemicals in Moroccan customs
What is the minimum alkaloid content for products classified under HS:2939110010?,Products classified under HS:2939110010 must contain at least 50% alkaloids
Which organic chemicals are included in the HS tariff code HS:2939110010?,Opium alkaloids and their derivatives; salts of these products are included in HS:2939110010
What product does the HS code HS:2939110020 specifically pertain to?,"Thefaine and its salts, which may or may not be included in natural vegetable alkaloids, those produced by synthetic means, their salts, their ethers, their esters, and other derivatives. Alkaloids of opium and their derivatives; salts of these products."
Under which chapter is the HS code HS:2939110020 classified in the Moroccan customs tariff?,Chapter 29: Organic chemicals
What type of organic chemicals are covered by the HS code HS:2939110020 in the Moroccan customs tariff?,"Alkaloids, including those derived from opium, and their salts, ethers, esters, and other derivatives."
What is the first level of classification for the HS code HS:2939110020 in the Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
"What specific HS code is given to morphine, ethylmorphine and their salts, which may or may not be part of natural or synthetically produced plant alkaloids, their salts, their ethers, their esters and other derivatives; alkaloids of opium and their derivatives; salts of these products?",HS:2939110030
In which chapter of the Moroccan customs tariff classification does the HS code 2939110030 belong?,Chapter 29: Organic chemicals
What type of organic chemicals does the HS code 2939110030 represent in Moroccan customs tariff classification?,"Morphine, ethylmorphine and their salts, which may or may not be part of natural or synthetically produced plant alkaloids, their salts, their ethers, their esters and other derivatives; alkaloids of opium and their derivatives; salts of these products"
"What is the first level of classification for morphine, ethylmorphine and their salts, which may or may not be part of natural or synthetically produced plant alkaloids, their salts, their ethers, their esters and other derivatives; alkaloids of opium and their derivatives; salts of these products in Moroccan customs tariff?",29 - Chapter 29: Organic chemicals
