question,agent1,agent2,agent3,final_answer
What product does the HS tariff code HS:2939110010 apply to?,"(HScodeFinder) The HS code HS:2939110010 is classified under Chapter 29, which includes products of chemical origin, such as alkalis, acids, and their salts.","(ChapterClassifier) Chapter 29 specifically covers inorganic chemicals and their derivatives, including alkaloids and their salts, which aligns with the product description of poppy straw concentrates.","(ProductIdentifier) The product identified by HS:2939110010 is poppy straw concentrates containing at least 50% alkaloids and their salts, as specified in the answer.",Poppy straw concentrates containing at least 50% alkaloids and their salts
Which type of organic chemicals does the HS code HS:2939110010 belong to?,"(HScodeFinder) The HS code HS:2939110010 is classified under chapter 29, which pertains to organic chemicals.","(ChapterClassifier) Chapter 29 in Moroccan customs classification is dedicated to organic chemicals, including compounds like poppy straw concentrates.",(ProductIdentifier) Poppy straw concentrates are a specific type of organic chemical identified under HS code HS:2939110010 in Moroccan customs.,Poppy straw concentrates fall under chapter 29: Organic chemicals in Moroccan customs
What is the minimum alkaloid content for products classified under HS:2939110010?,"(HScodeFinder) The HS code HS:2939110010 is identified as a specific code for certain products, likely related to pharmaceuticals or chemical compounds.","(ChapterClassifier) The HS code HS:2939110010 falls under Chapter 29, which is classified as 'Organic chemicals', specifically including alkaloids and related compounds.","(ProductIdentifier) Products classified under HS:2939110010 must contain at least 50% alkaloids, as per regulatory requirements for this classification.",Products classified under HS:2939110010 must contain at least 50% alkaloids
Which organic chemicals are included in the HS tariff code HS:2939110010?,"(HScodeFinder) The HS code HS:2939110010 is classified under Chapter 29, which includes organic chemicals containing nitrogen, such as opium alkaloids and their derivatives.","(ChapterClassifier) Chapter 29 of the HS tariff includes organic chemicals containing nitrogen, which aligns with the classification of opium alkaloids and their derivatives.","(ProductIdentifier) Opium alkaloids and their derivatives, including salts, are specifically identified as the organic chemicals included in HS:2939110010.",Opium alkaloids and their derivatives; salts of these products are included in HS:2939110010
What product does the HS code HS:2939110020 specifically pertain to?,"(HScodeFinder) The HS code HS:2939110020 is classified under the chapter of alkaloids and their derivatives, specifically including thefaine and its salts, as well as related compounds such as ethers, esters, and derivatives.","(ChapterClassifier) The chapter classification for HS:2939110020 falls under Chapter 29, which covers organic chemicals, including alkaloids and their derivatives, with a specific focus on thefaine and its related compounds.","(ProductIdentifier) The product identified by HS:2939110020 is thefaine and its salts, along with various derivatives such as ethers, esters, and other related chemical compounds.","Thefaine and its salts, which may or may not be included in natural vegetable alkaloids, those produced by synthetic means, their salts, their ethers, their esters, and other derivatives. Alkaloids of opium and their derivatives; salts of these products."
Under which chapter is the HS code HS:2939110020 classified in the Moroccan customs tariff?,"(HScodeFinder) The HS code HS:2939110020 is classified under Chapter 29, which pertains to organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff is designated for organic chemicals, including a wide range of compounds such as alcohols, esters, and other derivatives.","(ProductIdentifier) The specific HS code HS:2939110200 identifies a category of organic chemicals, likely including compounds like alcohols and esters, which are commonly used in various industrial applications.",Chapter 29: Organic chemicals
What type of organic chemicals are covered by the HS code HS:2939110020 in the Moroccan customs tariff?,"(HScodeFinder) The HS code HS:2939110020 is classified under Chapter 29, which includes organic chemicals such as alkaloids and their derivatives.","(ChapterClassifier) Chapter 29 of the Moroccan customs tariff covers organic chemicals, specifically including alkaloids and their derivatives.","(ProductIdentifier) Alkaloids, including those derived from opium, and their salts, ethers, esters, and other derivatives are the organic chemicals covered by HS code HS:2939110020.","Alkaloids, including those derived from opium, and their salts, ethers, esters, and other derivatives."
What is the first level of classification for the HS code HS:2939110020 in the Moroccan customs tariff?,"(HScodeFinder) The HS code HS:2939110020 is classified under Chapter 29, which is for Organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff is designated for Organic chemicals, which is the first level of classification.","(ProductIdentifier) The HS code HS:2939110020 falls under Chapter 29, which is the first level of classification for Organic chemicals in the Moroccan customs tariff.",29 - Chapter 29: Organic chemicals
"What specific HS code is given to morphine, ethylmorphine and their salts, which may or may not be part of natural or synthetically produced plant alkaloids, their salts, their ethers, their esters and other derivatives; alkaloids of opium and their derivatives; salts of these products?","(HScodeFinder) The HS code for morphine, ethylmorphine, and their salts, along with related derivatives and alkaloids, is HS:2939110030.","(ChapterClassifier) This HS code falls under Chapter 29, which covers organic chemicals, including alkaloids and their derivatives.","(ProductIdentifier) Morphine, ethylmorphine, and their salts are classified under HS:2939110030 as specified in the question.",HS:2939110030
In which chapter of the Moroccan customs tariff classification does the HS code 2939110030 belong?,"(HScodeFinder) The HS code 2939110030 is classified under Chapter 29, which covers organic chemicals.","(ChapterClassifier) Chapter 29 is designated for organic chemicals, including compounds like alcohols, esters, and other derivatives.","(ProductIdentifier) The specific HS code 2939110030 refers to organic chemicals, particularly those used in the production of synthetic resins and other industrial applications.",Chapter 29: Organic chemicals
What type of organic chemicals does the HS code 2939110030 represent in Moroccan customs tariff classification?,"(HScodeFinder) The HS code 2939110030 is classified under Chapter 29, which includes organic chemicals related to alkaloids and their derivatives.","(ChapterClassifier) Chapter 29 of the Moroccan customs tariff specifically covers organic chemicals, including alkaloids and their derivatives, which aligns with the HS code 2939110030.","(ProductIdentifier) The HS code 2939110030 represents morphine, ethylmorphine, and their salts, which are alkaloids derived from opium or synthesized, as specified in the Moroccan customs tariff.","Morphine, ethylmorphine and their salts, which may or may not be part of natural or synthetically produced plant alkaloids, their salts, their ethers, their esters and other derivatives; alkaloids of opium and their derivatives; salts of these products"
